[2025-07-20T07:28:08.196Z] Convertido: Bonus_.gpx → bonus.geojson
[2025-07-20T07:28:08.285Z] Convertido: Bowl_.gpx → bowl.geojson
[2025-07-20T07:28:08.293Z] Convertido: Clasico_.gpx → clasico.geojson
[2025-07-20T07:28:08.486Z] Convertido: El_Arrayan.gpx → el-arrayan.geojson
[2025-07-20T07:28:08.492Z] Convertido: Fosil_.gpx → fosil.geojson
[2025-07-20T07:28:08.499Z] Convertido: Pinos_.gpx → pinos.geojson
[2025-07-20T07:28:08.534Z] Convertido: Sin_nombre_.gpx → sin-nombre.geojson
[2025-07-20T07:28:08.563Z] Convertido: The_wood_.gpx → the-wood.geojson
[2025-07-20T07:28:08.575Z] Convertido: Tubazo.gpx → tubazo.geojson
[2025-07-20T07:31:40.780Z] Archivo ya existe, saltando: bonus.geojson
[2025-07-20T07:31:40.781Z] Archivo ya existe, saltando: bowl.geojson
[2025-07-20T07:31:40.781Z] Archivo ya existe, saltando: clasico.geojson
[2025-07-20T07:31:40.781Z] Archivo ya existe, saltando: el-arrayan.geojson
[2025-07-20T07:31:40.781Z] Archivo ya existe, saltando: fosil.geojson
[2025-07-20T07:31:40.781Z] Archivo ya existe, saltando: pinos.geojson
[2025-07-20T07:31:40.782Z] Archivo ya existe, saltando: sin-nombre.geojson
[2025-07-20T07:31:40.782Z] Archivo ya existe, saltando: the-wood.geojson
[2025-07-20T07:31:40.782Z] Archivo ya existe, saltando: tubazo.geojson
[2025-07-20T07:31:53.722Z] Archivo ya existe, saltando: bonus.geojson
[2025-07-20T07:31:53.722Z] Archivo ya existe, saltando: bowl.geojson
[2025-07-20T07:31:53.723Z] Archivo ya existe, saltando: clasico.geojson
[2025-07-20T07:31:53.723Z] Archivo ya existe, saltando: el-arrayan.geojson
[2025-07-20T07:31:53.723Z] Archivo ya existe, saltando: fosil.geojson
[2025-07-20T07:31:53.723Z] Archivo ya existe, saltando: pinos.geojson
[2025-07-20T07:31:53.723Z] Archivo ya existe, saltando: sin-nombre.geojson
[2025-07-20T07:31:53.723Z] Archivo ya existe, saltando: the-wood.geojson
[2025-07-20T07:31:53.723Z] Archivo ya existe, saltando: tubazo.geojson
[2025-07-20T09:05:00.935Z] ✅ Indice de rutas generado correctamente
